ID,Title,Organization Name,City2,Province2,Date(s),Topics,Summary,Source Link,Image,Image Source Link
168,Edmonton Pride Headliner 2018,"[""Edmonton Pride Festival""]",Edmonton,AB,Jun-18,"[""Artist/Performance Lineup""]","<span style=""color&#58;black;"">​<p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span style=""""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;"">Amy&#160;</span></span></span><span style=""""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;"">Hef</span></span></span><span style=""""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;"">, Ann&#160;</span></span></span><span style=""""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;"">Vriend</span></span></span><span style=""""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;"">, The Sissy Fits, Kasey
Riot, DJ Dopamine, Molly Fi, Snap Boys, Impact Performing Arts, Skylar Love, DJ
Spacey, DJ Kevin Evans, Imperial Sovereign Court of the&#160;Wild Rose Social
Association, The Bombshell Brigade, Mike Tomas</span></span></span><a style="""" href=""#_edn1"" title=""""><span style=""""><span style=""vertical-align&#58;super;""><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;""><span style=""""><span style=""vertical-align&#58;super;""><span lang=""EN-US"" style=""line-height&#58;107%;background&#58;white;"">[i]</span></span></span></span></span></span></a><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;background&#58;white;""></span></span></p><p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;</span></span></p><p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">DJ&#160;</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Showboy</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;–&#160;Pride&#160;week
DJ Undie Party p.28 of 2018 Pride Guide</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;</span></span><span lang=""EN-US"" style=""font-size&#58;9.0pt;font-family&#58;&quot;Segoe UI&quot;,sans-serif;""></span></p><p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;</span></span><span lang=""EN-US"" style=""font-size&#58;9.0pt;font-family&#58;&quot;Segoe UI&quot;,sans-serif;""></span></p><p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">DJ
Corey Craig –&#160;</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">chvrch</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;of
John p.34 of 2018 Pride Guide</span></span></p><div style=""""><div style=""""><p style=""margin&#58;0cm;font-size&#58;10pt;font-family&#58;Calibri, sans-serif;""><span lang=""EN-US"" style=""font-size&#58;11.0pt;"">&#160;</span></p></div></div></span><br>","List of presumed headliners and bios from 2018 Pride Guide – p.8 to 18, with schedule for beer garden and main stage sat June 9th on p.18, Undie party p.28 ",,
169,Edmonton Pride Guides and Themes 2018,"[""Edmonton Pride Festival""]",Edmonton,AB,Jun-18,"[""Pride Theme"",""Pride Guide""]","<span style=""color&#58;black;"">​<p style=""margin&#58;0cm 0cm 8pt;line-height&#58;107%;font-size&#58;11pt;font-family&#58;Calibri, sans-serif;""><span lang=""EN-US"" style="""">Theme&#58; Full spectrum </span></p></span><br>",https://issuu.com/postvuepublishing/docs/pridefestival_2018/4,,
170,Edmonton Grand Marshal 2018,"[""Edmonton Pride Festival""]",Edmonton,AB,9-Jun-18,"[""Parade Marshal""]","<span style=""color&#58;black;"">​<span lang=""EN-US"" style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;#222222;"">Alberta Liberal Leader
David Khan</span></span><br>",https://www.cbc.ca/news/canada/edmonton/edmonton-pride-parade-lgbtq-politics-alberta-1.4699694,,
171,Edmonton Pride Week Society Director/Chair 2018,"[""Edmonton Pride Festival""]",Edmonton,AB,12-Jan-18,"[""Leadership Appointment""]","<span style=""color&#58;black;"">​<span><span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;border&#58;none windowtext 1.0pt;padding&#58;0cm;"">Alyssa Demers and Tim Ira
are co-chairs</span></span></span><br>",https://web.archive.org/web/20180112033956/http://www.edmontonpride.ca/pride-society/board-of-directors/  ,,
172,Edmonton Pride Week Society Director/Chair 2018,"[""Edmonton Pride Festival""]",Edmonton,AB,14-May-18,"[""Leadership Appointment""]","<span style=""color&#58;black;"">​<span><span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;border&#58;none windowtext 1.0pt;padding&#58;0cm;"">Alyssa Demers is chair</span></span></span><br>",https://web.archive.org/web/20180514192751/http://www.edmontonpride.ca:80/pride-society/board-of-directors/  ,,
173,Edmonton Pride Dates and Locations 2018,"[""Edmonton Pride Festival""]",Edmonton,AB,"June 8 – 17, 2018","[""Festival Dates"",""Location""]","<span style=""color&#58;black;"">​<p style=""margin&#58;0cm 0cm 8pt;line-height&#58;107%;font-size&#58;11pt;font-family&#58;Calibri, sans-serif;""><span lang=""EN-US"" style="""">Dates&#58; June 8 - 17 </span></p><span lang=""EN-US"" style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Location&#58; Old Strathcona</span></span><br>",https://web.archive.org/web/20180325184309/http://www.edmontonpride.ca/,,
174,Edmonton Pride Week Society Director/Chair 2018,"[""Edmonton Pride Festival""]",Edmonton,AB,19-Jun-18,"[""Leadership Appointment""]","<span style=""color&#58;black;"">​<span><span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;border&#58;none windowtext 1.0pt;padding&#58;0cm;"">Clayton Hitchcock is
co-chair</span></span></span><br>",https://web.archive.org/web/20180619194009/http://www.edmontonpride.ca:80/pride-society/board-of-directors  ,,
175,Edmonton Pride Week Society Director/Chair 2018,"[""Edmonton Pride Festival""]",Edmonton,AB,22-Aug-18,"[""Leadership Appointment""]","<span style=""color&#58;black;"">​<span style=""""><span><span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;"">Clayton Hitchcock and Gregory Toogood are co-chairs</span></span></span><span style=""""><span><span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;""><br></span></span></span></span><br>",https://web.archive.org/web/20180822230357/http://www.edmontonpride.ca:80/pride-society/board-of-directors  ,,
176,Edmonton Pride Week Society Director/Chair 2018,"[""Edmonton Pride Festival""]",Edmonton,AB,25-Oct-18,"[""Leadership Appointment""]","<span style=""color&#58;black;"">​<span style=""""><span><span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;"">Clayton Hitchcock and Susan Oliver are co-chairs</span></span></span></span><br>",https://web.archive.org/web/20181025060326/http://www.edmontonpride.ca:80/pride-society/board-of-directors ,,
177,Edmonton Pride Headliner 2019,"[""Edmonton Pride Festival""]",Edmonton,AB,2019,"[""Artist/Performance Lineup""]","<span style=""color&#58;black;"">​<p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">‘Evo&#160;Pride’
at Evolution&#160;</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Wonderlounge</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;–
multiple days, includes DJ Kitty Glitter,&#160;</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Thorgy</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;Thor,&#160;</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Shangela</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">,
Alyssa Edwards,&#160;Pride&#160;Finale Party&#160;with Monet Xchange</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;</span></span><span lang=""EN-US"" style=""font-size&#58;9.0pt;font-family&#58;&quot;Segoe UI&quot;,sans-serif;""></span></p><p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;</span></span><span lang=""EN-US"" style=""font-size&#58;9.0pt;font-family&#58;&quot;Segoe UI&quot;,sans-serif;""></span></p><p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Pride&#160;on
103 Community Street Festival Performer Bios’ – Vanity Fair, SNAP, Sister Mary
Clarence, Tara Bull, Divina&#160;</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Diefor</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">,
Sybil Satana, Tequila Mockingbird, Darla Darwin, Khaled Rahime, Artasia, Agata
Gogh,&#160;</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">GoDiva</span></span><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">,
Melinda Verga</span></span></p><p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span><span lang=""EN-US"" style=""font-family&#58;&quot;Calibri&quot;,sans-serif;"">&#160;</span></span></p><p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span style=""""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;"">Various DJs and drag
acts listed on pgs. 28-31&#160;</span></span></span><span style=""""><span><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;"">o</span></span></span><span style=""""><span><span lang=""EN-US"" style=""font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;"">f 2019 Pride Guide</span></span></span><span><span lang=""EN-US"" style=""font-family&#58;&quot;Calibri&quot;,sans-serif;background&#58;white;""></span></span></p><p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span lang=""EN-US"" style=""font-family&#58;&quot;Calibri&quot;,sans-serif;background&#58;white;"">&#160;</span></p><p style=""margin-right&#58;0cm;margin-left&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Times New Roman&quot;, serif;margin&#58;0cm;""><span style=""""><span lang=""EN-US"" style=""font-size&#58;11.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;background&#58;white;"">Note&#58; <span>Evo&#160;</span><span>Wonderlounge</span><span>&#160;has full
page spread on back cover, and lists specific acts. Even if these
acts&#160;were not official headliners they are given prominent position by
virtue of this advertisement.&#160;</span><span>&#160;</span></span></span></p></span><br>","‘Pride on 103 Community Street Festival Performer Bios’ pg. 14-17 of 2019 Pride Guide

https://issuu.com/eyesightpublishing/docs/2019-prideguide-issuu",,
178,Edmonton Pride Guides and Themes 2019,"[""Edmonton Pride Festival""]",Edmonton,AB,2019,"[""Pride Guide"",""Pride Theme""]","<span style=""color&#58;black;"">​</span></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><span style=""color&#58;black;""><p style=""margin&#58;0cm 0cm 8pt;line-height&#58;107%;font-size&#58;11pt;font-family&#58;Calibri, sans-serif;""><span lang=""EN-US"" style=""color&#58;black;"">Theme&#58; Building Bridges from Stonewall</span><sup><span lang=""EN-US"" style=""""></span></sup></p><p style=""margin&#58;0cm 0cm 8pt;line-height&#58;107%;font-size&#58;11pt;font-family&#58;Calibri, sans-serif;""><span lang=""EN-US"" style=""color&#58;black;""><span lang=""EN-US"" style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;"">Cancelled<br></span><br></span></p></span><br>","https://web.archive.org/web/20190411171336/http://www.edmontonpride.ca/2019-pride-festival-theme/

https://www.cbc.ca/news/canada/edmonton/edmonton-pride-festival-cancelled-2019-1.5093276  ",,
179,Edmonton Pride Week Society Director/Chair 2019,"[""Edmonton Pride Festival""]",Edmonton,AB,"January to March 31, 2019","[""Leadership Appointment""]","<span style=""color&#58;black;"">​<span><span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;border&#58;none windowtext 1.0pt;padding&#58;0cm;"">Clayton Hitchcock and Susan
Oliver are co-chairs.</span></span></span><br>","https://web.archive.org/web/20190115071347/http://www.edmontonpride.ca:80/pride-society/board-of-directors/  

https://web.archive.org/web/20190331041937/http://www.edmontonpride.ca/pride-society/board-of-directors/  ",,
180,Edmonton Pride Festival Cancellation 2019,"[""Edmonton Pride Festival""]",Edmonton,AB,10-Apr-19,"[""Major Decision/Announcement""]","<span style=""color&#58;black;"">​<span lang=""EN-US"" style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Edmonton
Pride Festival Society announces cancellation of 2019 Pride</span></span><br>",https://web.archive.org/web/20190411201259/http://www.edmontonpride.ca/2019-edmonton-pride-festival-cancelled/,,
181,Edmonton Pride Week Society Director/Chair 2019,"[""Edmonton Pride Festival""]",Edmonton,AB,11-May-19,"[""Major Decision/Announcement"",""Leadership Appointment""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">All
board member names have been removed.</span></span><br>",https://web.archive.org/web/20190411201319/http://www.edmontonpride.ca/pride-society/board-of-directors/  ,,
182,Edmonton Pride Dates and Locations 2019,"[""Edmonton Pride Festival""]",Edmonton,AB,"June 8 – 15, 2019","[""Festival Dates"",""Location""]","<span style=""color&#58;black;"">​<p style=""margin&#58;0cm 0cm 8pt;line-height&#58;107%;font-size&#58;11pt;font-family&#58;Calibri, sans-serif;""><span lang=""EN-US"" style="""">Dates&#58; Scheduled June 8 -
15</span></p><span lang=""EN-US"" style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Location&#58; Old Strathcona</span></span><br>",https://web.archive.org/web/20190323001709/http://www.edmontonpride.ca/festival/event-schedule/ (Original locations and schedule),,
183,Edmonton Pride Dates and Locations 2020,"[""Edmonton Pride Festival""]",Edmonton,AB,2020,"[""Major Decision/Announcement""]","<span style=""color&#58;black;"">​<span lang=""EN-US"" style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Cancelled
(COVID-19)</span></span><br>",,,
184,Edmonton Pride Dates and Locations 2020,"[""Edmonton Pride Festival""]",Edmonton,AB,2020,"[""Festival Dates"",""Festival Location Change"",""COVID-19"",""Location""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;color&#58;black;"">Related events held virtually</span></span><br>",https://www.cbc.ca/news/canada/edmonton/edmonton-online-pride-event-1.5604143  ,,
185,Edmonton Pride Dates and Locations 2021,"[""Edmonton Pride Festival""]",Edmonton,AB,2021,"[""Festival Dates"",""Festival Location Change"",""COVID-19"",""Location""]","<span style=""color&#58;black;"">​<p style=""margin&#58;0cm 0cm 8pt;line-height&#58;107%;font-size&#58;11pt;font-family&#58;Calibri, sans-serif;""><span lang=""EN-US"" style="""">Dates&#58; June </span></p><span lang=""EN-US"" style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Location&#58; virtual events</span></span><br>",https://www.cbc.ca/news/canada/edmonton/pride-lgbtq-virtual-covid-19-1.6044805,,
186,Edmonton Pride Festival Society Twitter Debut 2021,"[""Edmonton Pride Festival""]",Edmonton,AB,2021,"[""Social Media Debut""]","<span style=""color&#58;black;""></span><p><br></p><span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Twitter
account @YEGPride re-opens as the account for the Pride Centre of Edmonton</span><br>",,,
187,Winnipeg Prime Timers Meet & Greet 2007,"[""Prime Timers Winnipeg""]",Winnipeg,MB,2007,"[""Community Event""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;12.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Meet and greet and wine and cheese event for men
over 40 and their admirers</span></span><br>",https://www.flickr.com/photos/14646025@N03/1579469812/in/photostream/,Picture1.jpg,https://www.flickr.com/photos/14646025@N03/ 1579469812/in/photostream/
188,Winnipeg Rainbow Resource Centre Open House and Community BBQ 2010,"[""Rainbow Resource Centre""]",Winnipeg,MB,2-Jun-10,"[""Community Event"",""Attendance Record""]","<span style=""font-size&#58;12.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;""><p><span style=""color&#58;black;"">​</span>Location&#58; <span style=""font-size&#58;12.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Rainbow Resource Centre</span><br></p>Event was considered a success, drawing in many
members of the community to the resource centre<div style=""margin-top&#58;16px;margin-bottom&#58;16px;""><span style=""font-size&#58;12.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Approx. 75 community members</span><br></div><p><br></p></span>",https://rainbowresourcecentre.org/files/RRC-AR-2011.pdf,,
189,Winnipeg Rainbow Resource Centre Open House and Community BBQ 2015,"[""Rainbow Resource Centre""]",Winnipeg,MB,2015,"[""Community Event""]","<span style=""color&#58;black;"">​Location&#58; Rainbow Resource Centre<div style=""margin-top&#58;14.6667px;margin-bottom&#58;14.6667px;""><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">An invitation to the community to come meet the staff, see
the space, learn about events, and enjoy some BBQ</p><p><br></p><br></div></span><br>",https://www.facebook.com/RainbowResourceCentre/photos/gm.376493839221933/865423520196710,rainbowresourcecentre.jpg,https://www.facebook.com/RainbowResourceCentre/ photos/gm.376493839221933/865423520196710
190,Winnipeg Trans March 2017,"[""Pride Winnipeg""]",Winnipeg,MB,2017,"[""Community Event"",""First Parade/March"",""Inaugural Pride Event""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;12.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Rally - Manitoba Legislature<p>Attendance - 400+</p><div style=""margin-top&#58;16px;margin-bottom&#58;16px;""><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">First year of event created to give gender diverse people a
space within Pride and raise their visibility</p><span style=""font-size&#58;12.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">*Special note&#58; As march was beginning a
transgender individual was arrested for filming a police officer</span><br></div></span><p><br></p></span><br>",,,
191,Winnipeg Trans March 2018,"[""Pride Winnipeg""]",Winnipeg,MB,2018,"[""Community Event""]","<span style=""color&#58;black;"">​<p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">Manitoba Legislature Building (rally)</p><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">&#160;</p><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">Broadway to Forks Festival grounds (march)</p><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;""><br></p><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">Theme&#58; Visibility</p><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">&#160;</p><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">Rally to include local Trans activists and guest speakers</p><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">&#160;</p><span style=""font-size&#58;12.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">At end of march, at Folk Festival grounds, concert
with several local, trans artist</span></span><br>",https://www.facebook.com/photo/?fbid=10156478510349674&set=gm.457667191321142,transvisibility.jpg,https://www.facebook.com/photo/ ?fbid=10156478510349674&set=gm.457667191321142
192,Winnipeg Trans March 2019,"[""Pride Winnipeg""]",Winnipeg,MB,2019,"[""Community Event""]","<span style=""color&#58;black;"">​<p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">Manitoba Legislature Building (rally)</p><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">&#160;</p><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">Broadway to Forks Festival grounds (march)</p><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;&quot;Calibri&quot;, sans-serif;"">&#160;</p>Attendance - 400+<div style=""margin-top&#58;14.6667px;margin-bottom&#58;14.6667px;""><span style=""font-size&#58;12.0pt;font-family&#58;&quot;Calibri&quot;,sans-serif;"">March for trans people and their allies in an
effort to increase visibility within the community,<span style="""">&#160; </span>decrease stigma, and calling for an end to
the many barriers they face.</span><br></div></span><br>",https://www.cbc.ca/news/canada/manitoba/trans-march-winnipeg-1.5158892,transmarchwinnipeg.png,https://www.cbc.ca/news/canada/manitoba/trans-march-winnipeg-1.5158892
193,Winnipeg Dyke March 2011,"[""Dyke March Winnipeg""]",Winnipeg,MB,4-Jun-11,"[""Community Event""]","<span style=""color&#58;black;""><div style=""color&#58;#333333;font&#58;12.0px Verdana;margin&#58;0.0px 0.0px 0.0px 0.0px;"">The Winnipeg Dyke March is an annual demonstration of the presence, strength and solidarity of queer women and our allies.&#160;</div></span><span style=""color&#58;black;""></span><span style=""color&#58;black;""><div style=""color&#58;#333333;font&#58;12.0px Verdana;margin&#58;0.0px 0.0px 0.0px 0.0px;"">Our goal is to promote visibility and community.</div><div style=""color&#58;#333333;font&#58;12.0px Verdana;margin&#58;0.0px 0.0px 0.0px 0.0px;min-height&#58;15.0px;""><br></div><div style=""color&#58;#333333;font&#58;12.0px Verdana;margin&#58;0.0px 0.0px 0.0px 0.0px;"">Saturday, June 4, RAIN OR SHINE,&#160;from 2&#58;30 pm to 6&#58;00 pm<br><br><div style=""color&#58;#444444;margin&#58;0.0px 0.0px 0.0px 0.0px;"">Please arrive around 2&#58;00 or 2&#58;30 pm. &#160;</div><div style=""color&#58;#444444;margin&#58;0.0px 0.0px 0.0px 0.0px;"">We'll take over the streets at 3&#58;00 pm sharp.</div></div><div style=""color&#58;#333333;font&#58;12.0px Verdana;margin&#58;0.0px 0.0px 0.0px 0.0px;"">River Osborne Community Centre, 101 Pembina Hwy, through the Village to Memorial Park</div><div style=""color&#58;#333333;font&#58;12.0px Verdana;margin&#58;0.0px 0.0px 0.0px 0.0px;min-height&#58;15.0px;""><br></div><div style=""color&#58;#333333;font&#58;12.0px Verdana;margin&#58;0.0px 0.0px 0.0px 0.0px;"">Who's Invited?&#160; EVERYONE!&#160;</div><div style=""color&#58;#333333;font&#58;12.0px Verdana;margin&#58;0.0px 0.0px 0.0px 0.0px;"">This is an all-ages, all-abilities and all-genders event.&#160;</div><div style=""color&#58;#333333;font&#58;12.0px Verdana;margin&#58;0.0px 0.0px 0.0px 0.0px;"">You don't need to identify as a dyke or a lesbian to march!</div></span>",https://winnipegisbetterthanchocolate.blogspot.com/2011/05/,,
194,Winnipeg Dyke March 2013,"[""Dyke March Winnipeg""]",Winnipeg,MB,1-Jun-13,"[""Community Event""]","<span style=""color&#58;black;"">​Free event held at River Osborne Community Centre</span><br>",https://web.archive.org/web/20130707093812/http://www.pridewinnipeg.com/events/community-events,,
195,Winnipeg Dyke March Cancelled 2017,"[""Pride Winnipeg""]",Winnipeg,MB,6-May-17,"[""Community Event""]","<span style=""color&#58;black;"">​Winnipeg Dyke March Facebook page announces that due to lack of organizers, the event will be cancelled.</span><br>",https://web.archive.org/web/20180328040944/https://www.facebook.com/winnipeg.dyke.march/,Screen Shot 2022-04-26 at 3.08.49 PM.png,https://web.archive.org/web/20180328040944/https://www.facebook.com/winnipeg.dyke.march/
196,Rainbow Resource Centre Open House and Community BBQ 2013,"[""Rainbow Resource Centre""]",Winnipeg,MB,29-May-13,"[""Community Event""]","<span style=""color&#58;black;"">​</span>Come and join us at the Rainbow Resource Centre to meet the staff, see 
the space, learn more about what’s happening at the Centre, and enjoy a 
beef or veggie hot dog as we build our community and barbeque with you.<br>",https://web.archive.org/web/20130707093812/http://www.pridewinnipeg.com/events/community-events,,
